//A
"Add to Wish List", "Add to Wishlist"
//B
//C
//D
//E
//F
//G
//H
//I
"Invalid login or password.", "Invalid login or password. The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later. Notice: Be aware that we have updated our system, please use the 'Forgot password' link to reset your password"
//J
//K
//L
//M
//N
//O
//P
"Please select a region, state or province.", "Please select"
"Purchase Order Number", "Purchase order number"
//Q
//R
//S
//T
"This product is out of stock.", "This product is out of stock — but you can still complete the checkout"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.", "The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later. </br>Notice: Be aware that we have updated our system, please use the 'Forgot password' link to reset your password"
//U
//V
//W
//X
//Y
"You can track your order status by creating an account.", "Create an account for next time to track your order, faster checkout & more"
//Z
